product_id,product_name,product_brand,year,product_price,product_quantity
63,Samsung Galaxy Tab S3,Tablet,2018-04,14,185
64,Apple iPhone XR,iPhone,2020-08,31,79
65,HTC One M9,Android Mobile,2020-06,89.95,173
66,Samsung Galaxy S7,Android Mobile,2021-08,141.95,94
67,Chromebook,Desktop,2022-03,38.99,228
68,Sony Xperia Z4 Tablet,Tablet,2019-07,47.99,86
69,HTC One M9,Android Mobile,2020-10,110.99,181
70,Playstation Vita,Game Console,2022-11,100.99,178
71,Sony Xperia Z4 Tablet,Tablet,2021-07,93.99,116
72,Nintendo Wii U,Game Console,2021-04,41.99,149
73,Samsung Galaxy S7 Edge,Android Mobile,2020-03,72.95,173
74,Windows 10-based PC,Desktop,2019-04,16,126
75,LG G Pad 7.0,Tablet,2021-04,100,180
76,Xbox One,Game Console,2022-12,15.99,40
77,Amazon Kindle 4,E Reader,2022-12,16.99,175
78,HTC One M9,Android Mobile,2020-10,12.95,223
79,Windows 7-based PC,Desktop,2022-05,130,68
80,Amazon Kindle Fire HDX 7,Tablet,2018-06,123.95,173
81,Apple iPhone 6,iPhone,2021-06,15.95,175
82,Nintendo Wii U,Game Console,2020-03,123,235
83,Chromebook,Desktop,2019-03,182.99,213
84,Amazon Kindle Fire HDX 7,Tablet,2021-08,64,110
85,Sony Xperia Z5,Android Mobile,2023-07,71.99,129
86,Minix NEO X5,Set Top Box,2024-01,196,85
87,Samsung Galaxy Tab S3,Tablet,2022-07,81.95,60
88,Nexus 6P,Android Mobile,2019-08,56.99,139
89,Nvidia Shield Tablet K1,Tablet,2024-04,66.95,17
90,HTC One X10,Android Mobile,2019-05,172.95,184
91,Samsung Galaxy S9,Android Mobile,2019-12,44,185
92,HTC One X10,Android Mobile,2019-09,199.99,67
93,Apple TV 4th Gen,Set Top Box,2021-08,177.95,202
94,Samsung Galaxy Tab S3,Tablet,2018-06,18.95,212
95,Playstation Vita,Game Console,2021-07,54.95,228
96,Apple iPhone XR,iPhone,2021-04,19,73
97,Windows 10-based PC,Desktop,2023-07,185,254
98,Samsung Galaxy S8,Android Mobile,2021-12,181,219
99,Apple iPhone 7,iPhone,2019-12,84,93
100,Xbox One S,Game Console,2020-04,148,249
101,Samsung Galaxy S9,Android Mobile,2020-08,180,236
102,Linux-based PC,Desktop,2023-11,134,142
103,Samsung Galaxy S7 Edge,Android Mobile,2018-05,173,120
104,Roku Ultra,Set Top Box,2021-12,134,81
105,Roku Ultra,Set Top Box,2022-08,121,153
106,Samsung Galaxy Tab S3,Tablet,2021-09,38,44
107,Amazon Kindle Fire HDX 7,Tablet,2023-04,98.99,86
108,Roku Ultra,Set Top Box,2023-08,154.95,76
109,Xbox One,Game Console,2019-04,110,146
110,Google Pixel C,Tablet,2024-03,73.95,96
111,Playstation Vita,Game Console,2022-05,81.99,153
112,Amazon 4K Fire TV,Set Top Box,2024-02,178.99,195
113,Amazon Kindle 3,E Reader,2018-08,175.95,30
114,Roku Ultra,Set Top Box,2023-07,142.95,110
115,Windows 10-based PC,Desktop,2019-10,17,7
116,Playstation 4,Game Console,2022-04,192,222
117,Playstation Vita,Game Console,2021-05,125.95,217
118,Apple iPhone 7,iPhone,2022-10,165,46
119,Samsung Galaxy S7,Android Mobile,2019-11,178.99,61
120,Google Pixel C,Tablet,2020-02,32.99,42
121,Apple iPhone XS,iPhone,2019-12,119.95,202
122,Samsung Galaxy Tab A,Tablet,2018-07,21.99,160
123,HTC One M9,Android Mobile,2022-02,73.99,36
124,Sony Xperia XZ,Android Mobile,2019-08,16,101
125,Samsung Galaxy Tab A,Tablet,2020-06,114,116
126,Amazon 4K Fire TV,Set Top Box,2023-10,98,88
127,Sony Xperia Z5,Android Mobile,2021-06,27.95,23
128,Samsung Galaxy S6 Edge Plus,Android Mobile,2020-08,76.95,197
129,Samsung Galaxy S6 Edge Plus,Android Mobile,2020-01,60.99,110
130,Samsung Galaxy S7,Android Mobile,2018-12,145,68
131,Chromecast,Set Top Box,2022-05,160.95,91
132,Xbox One S,Game Console,2023-06,78.99,3
133,HTC One X10,Android Mobile,2022-06,67.99,6
134,Samsung Galaxy S6,Android Mobile,2024-01,94.95,93
135,Xbox One,Game Console,2021-04,38,127
136,Nexus 6P,Android Mobile,2021-01,131.99,113
137,Xbox One,Game Console,2021-01,33.95,37
138,Apple iPhone 7 Plus,iPhone,2019-07,194,172
139,Amazon Kindle 3,E Reader,2023-12,188,147
140,Roku Ultra,Set Top Box,2022-04,114.99,143
141,Xbox One S,Game Console,2021-01,123.99,174
142,Samsung Galaxy S6,Android Mobile,2019-07,115,250
143,Apple iPhone X,iPhone,2020-06,74,12
144,Apple iPhone XR,iPhone,2022-04,139.95,64
145,Playstation Vita,Game Console,2018-06,78.99,150
146,Apple iPhone 8,iPhone,2020-03,144.95,234
147,Nvidia Shield Tablet K1,Tablet,2019-09,173,42
148,Google Nexus Player,Set Top Box,2020-01,187.99,78
149,Google Nexus Player,Set Top Box,2022-01,187,10
150,Apple iPhone 6,iPhone,2020-06,112.99,144
151,Apple iPhone X,iPhone,2022-10,149.99,23
152,Apple iPhone 8,iPhone,2019-12,133,33
153,Nintendo Wii U,Game Console,2021-10,147.95,176
154,Apple iPhone XR,iPhone,2019-08,103.95,126
155,Macbook,Desktop,2022-06,109,253
156,Amazon Kindle Fire HDX 7,Tablet,2018-06,193.95,116
157,Amazon Kindle 4,E Reader,2023-06,106.99,40
158,Apple iPhone 6,iPhone,2022-08,95,157
159,Apple iPhone XS,iPhone,2019-08,128.95,254
160,Sony Xperia Z4 Tablet,Tablet,2020-01,41,129
161,Sony Xperia XZ,Android Mobile,2021-08,147.95,14
162,Apple TV 5th Gen 4K,Set Top Box,2022-01,166.95,175
163,Apple iPhone 8,iPhone,2019-12,143.95,242
164,Samsung Galaxy S7 Edge,Android Mobile,2021-04,77,170
165,Samsung Galaxy S6 Edge Plus,Android Mobile,2019-04,72.95,157
166,Apple TV 4th Gen,Set Top Box,2018-06,114.99,69
167,Windows 10-based PC,Desktop,2018-09,166.95,14
168,Nexus 6P,Android Mobile,2023-01,150.95,120
169,Samsung Galaxy S8,Android Mobile,2023-07,192.95,62
170,Linux-based PC,Desktop,2019-05,44,179
171,Sony Xperia Z5,Android Mobile,2023-09,177,68
172,Samsung Galaxy S9,Android Mobile,2021-11,59.95,43
173,Chromecast,Set Top Box,2019-09,156.95,113
174,Macbook,Desktop,2018-09,138,190
175,Nintendo 3DS,Game Console,2020-12,130.95,222
176,Windows 7-based PC,Desktop,2021-07,31.95,50
177,Samsung Galaxy S6,Android Mobile,2023-09,138.95,78
178,Nintendo 3DS,Game Console,2019-09,39,94
179,Apple TV 4th Gen,Set Top Box,2021-06,38.95,181
180,Samsung Galaxy Tab A,Tablet,2018-06,41,193
181,Nintendo Wii U,Game Console,2021-11,109.95,239
182,Apple iPhone 8 Plus,iPhone,2022-06,71,162
183,Roku Ultra,Set Top Box,2021-12,158.99,79
184,Samsung Galaxy S9,Android Mobile,2022-04,156.99,154
185,Apple iPhone XR,iPhone,2023-03,137.99,9
186,Chromecast,Set Top Box,2023-12,10.99,136
187,Chromecast,Set Top Box,2023-11,47.99,152
188,Samsung Galaxy Tab S3,Tablet,2023-09,16.99,162
189,Apple iPhone 7 Plus,iPhone,2022-05,22.95,200
190,Windows 10-based PC,Desktop,2022-07,81,73
191,Apple iPhone XR,iPhone,2023-04,156,200
192,Nvidia Shield Tablet K1,Tablet,2019-04,129.99,133
193,HTC One M9,Android Mobile,2023-07,114.95,213
194,Apple iPhone XS,iPhone,2023-04,84,44
195,LG G Pad 7.0,Tablet,2019-03,151.99,168
196,Macbook,Desktop,2021-08,86.99,54
197,Apple iPhone 7,iPhone,2020-07,60.95,249
198,Linux-based PC,Desktop,2021-10,131,141
199,Apple iPhone 8,iPhone,2020-12,190.99,187
200,Apple TV 5th Gen 4K,Set Top Box,2023-03,23.99,20
201,Apple iPhone XS Max,iPhone,2021-12,23.99,109
202,Samsung Galaxy S7 Edge,Android Mobile,2019-09,35.95,80
203,Apple iPhone 8,iPhone,2022-04,64.95,192
204,Apple iPhone X,iPhone,2022-08,188,76
205,Sony Xperia Z4 Tablet,Tablet,2020-09,80.95,18
206,Amazon Kindle Fire HDX 7,Tablet,2021-11,144,83
207,Sony Xperia Z5,Android Mobile,2018-05,24.99,181
208,Samsung Galaxy Tab S3,Tablet,2020-11,130,113
209,Amazon Kindle Fire HDX 7,Tablet,2022-09,81,3
210,Xbox One,Game Console,2021-05,69.95,21
211,Samsung Galaxy S6,Android Mobile,2019-10,182.95,64
212,Sony Xperia Z4 Tablet,Tablet,2022-09,62.95,126
213,Apple iPhone 8 Plus,iPhone,2019-09,48,43
214,Roku Ultra,Set Top Box,2021-02,170,59
215,Google Pixel C,Tablet,2020-04,173.95,55
216,Apple TV 5th Gen 4K,Set Top Box,2022-12,35.99,99
217,Apple iPhone 8 Plus,iPhone,2022-07,54.95,49
218,Apple iPhone 8 Plus,iPhone,2022-10,51.99,123
219,Google Nexus Player,Set Top Box,2020-11,178.99,42
220,Apple iPhone XR,iPhone,2023-11,29,217
221,Samsung Galaxy S6,Android Mobile,2023-07,152,255
222,Apple iPhone X,iPhone,2018-09,80.95,227
223,Samsung Galaxy Tab A,Tablet,2022-12,154.99,93
224,Xbox One S,Game Console,2021-04,114,82
225,Samsung Galaxy Tab S3,Tablet,2020-08,198,159
226,Playstation Vita,Game Console,2023-11,186.99,226
227,Apple iPhone 8 Plus,iPhone,2021-01,53.95,237
228,Samsung Galaxy S7,Android Mobile,2022-11,194.99,153
229,Samsung Galaxy Tab A,Tablet,2018-07,166,212
230,Xbox One,Game Console,2024-03,133.95,176
231,Samsung Galaxy S7,Android Mobile,2020-07,12,156
232,Nexus 6P,Android Mobile,2020-07,16.99,136
233,Samsung Galaxy Tab A,Tablet,2020-04,92.95,103
234,Apple TV 4th Gen,Set Top Box,2018-10,106.95,173
235,Apple iPhone 8,iPhone,2023-09,101,174
236,Xbox One,Game Console,2020-02,74.95,212
237,Apple iPhone XS,iPhone,2023-06,51.99,93
238,Xbox One S,Game Console,2022-08,152.99,76
239,Apple iPhone X,iPhone,2023-10,22.99,2
240,Apple iPhone 7,iPhone,2023-05,92.99,254
241,Samsung Galaxy S7 Edge,Android Mobile,2020-02,143.95,120
242,Apple iPhone X,iPhone,2019-12,139.95,237
243,HTC One M9,Android Mobile,2020-10,27,103
244,Chromebook,Desktop,2024-02,57.95,1
245,Nintendo Wii U,Game Console,2019-06,105.95,18
246,Amazon Kindle 4,E Reader,2021-02,75.95,227
247,Apple iPhone X,iPhone,2021-12,77.95,54
248,Amazon 4K Fire TV,Set Top Box,2022-07,78.99,142
249,Apple iPhone 7 Plus,iPhone,2018-11,133,172
250,Windows 10-based PC,Desktop,2023-04,58,66
251,Apple iPhone 6,iPhone,2023-04,155,8
252,Macbook,Desktop,2021-05,100.99,234
253,HTC One X10,Android Mobile,2020-09,118.99,42
254,Playstation 4,Game Console,2021-11,139.99,21
255,Apple iPhone 7,iPhone,2021-08,154.99,242
256,Apple TV 4th Gen,Set Top Box,2022-08,198.95,38
257,Linux-based PC,Desktop,2022-10,184.99,194
258,HTC One M9,Android Mobile,2018-09,157.99,27
259,Amazon 4K Fire TV,Set Top Box,2022-08,37.95,208
260,Google Pixel C,Tablet,2024-01,37,220
261,Apple iPhone 7,iPhone,2022-06,77.99,105
262,Chromecast,Set Top Box,2023-12,69.95,181
263,Samsung Galaxy S6,Android Mobile,2022-06,54.99,202
264,Nintendo Wii U,Game Console,2019-05,123.99,93
265,Sony Xperia Z4 Tablet,Tablet,2024-01,157.99,169
266,Linux-based PC,Desktop,2021-05,184.99,143
267,HTC One M9,Android Mobile,2020-04,161.99,246
268,Macbook,Desktop,2024-03,26.95,187
269,Amazon Kindle 4,E Reader,2020-04,167.99,0
270,Amazon 4K Fire TV,Set Top Box,2024-03,105,185
271,Sony Xperia Z5,Android Mobile,2021-06,176.95,151
272,Google Nexus Player,Set Top Box,2024-02,184.99,86
273,Nintendo 3DS,Game Console,2023-08,71.99,82
274,Playstation Vita,Game Console,2022-05,196,139
275,Chromecast,Set Top Box,2018-09,109,256
276,Roku Ultra,Set Top Box,2022-11,54.95,220
277,Windows 10-based PC,Desktop,2019-10,83.99,251
278,Linux-based PC,Desktop,2018-12,22,164
279,Apple TV 4th Gen,Set Top Box,2020-06,148.99,33
280,Samsung Galaxy S7 Edge,Android Mobile,2020-01,197.99,241
281,Nintendo 3DS,Game Console,2022-04,20.99,98
282,Samsung Galaxy S7 Edge,Android Mobile,2023-06,89.95,251
283,Playstation 4,Game Console,2023-01,47.99,127
284,Windows 10-based PC,Desktop,2023-10,78.99,222
285,Nintendo 3DS,Game Console,2023-07,36.95,68
286,Windows 10-based PC,Desktop,2020-02,147.99,241
287,Samsung Galaxy S8,Android Mobile,2022-10,89,70
288,Amazon Kindle 3,E Reader,2018-07,101.95,95
289,Nvidia Shield Tablet K1,Tablet,2019-07,18.95,0
290,Google Nexus Player,Set Top Box,2023-12,102.99,24
291,Xbox One S,Game Console,2022-07,163,31
292,Samsung Galaxy S8,Android Mobile,2022-06,157.95,97
293,Apple iPhone 6,iPhone,2022-07,21.99,114
294,HTC One X10,Android Mobile,2018-11,162.99,132
295,Chromebook,Desktop,2018-07,182,53
296,Apple iPhone 8 Plus,iPhone,2022-02,133,46
297,Apple iPhone XS Max,iPhone,2021-11,49.95,146
298,Amazon Kindle Fire HDX 7,Tablet,2021-02,85.99,28
299,Windows 7-based PC,Desktop,2022-09,174,51
300,Minix NEO X5,Set Top Box,2020-03,181,86
301,Playstation 4,Game Console,2024-01,20,235
302,Roku Ultra,Set Top Box,2018-05,168.99,22
303,Apple iPhone XS Max,iPhone,2024-02,167.99,222
304,Samsung Galaxy Tab S3,Tablet,2019-12,22.99,193
305,Amazon Kindle 3,E Reader,2022-02,171,22
306,Samsung Galaxy S8,Android Mobile,2022-05,80.95,224
307,Amazon Kindle Fire HDX 7,Tablet,2019-10,193.95,42
308,Xbox One,Game Console,2018-10,50,240
309,Samsung Galaxy S9,Android Mobile,2020-12,191,20
310,Samsung Galaxy S9,Android Mobile,2022-02,92,26
311,Apple iPhone XR,iPhone,2019-03,190,118
312,Google Pixel C,Tablet,2023-07,67.99,243
313,Sony Xperia Z5,Android Mobile,2022-08,58,247
314,Amazon Kindle 4,E Reader,2023-03,29,229
315,Apple TV 5th Gen 4K,Set Top Box,2019-08,40.95,150
316,Windows 7-based PC,Desktop,2022-07,179.99,18
317,Nintendo Wii U,Game Console,2021-10,128.99,82
318,Apple iPhone 6,iPhone,2018-05,181.99,62
319,Nvidia Shield Tablet K1,Tablet,2019-03,138.95,203
320,Samsung Galaxy S6,Android Mobile,2022-01,165,41
321,Nintendo 3DS,Game Console,2024-03,164,221
322,Sony Xperia Z4 Tablet,Tablet,2022-09,110.99,88
323,Nexus 6P,Android Mobile,2020-08,115.95,177
324,Nintendo Wii U,Game Console,2023-06,68.95,187
325,Samsung Galaxy S8,Android Mobile,2020-07,29.99,87
326,HTC One X10,Android Mobile,2019-12,197,211
327,Apple TV 4th Gen,Set Top Box,2022-03,66.95,132
328,Playstation 4,Game Console,2021-11,162.95,69
329,Samsung Galaxy S6,Android Mobile,2020-11,130,201
330,Windows 7-based PC,Desktop,2019-02,101.95,145
331,Xbox One,Game Console,2021-08,172,216
332,Nexus 6P,Android Mobile,2018-07,184.95,31
333,Sony Xperia Z4 Tablet,Tablet,2018-09,194.95,133
334,Playstation Vita,Game Console,2021-10,81.99,130
335,Amazon 4K Fire TV,Set Top Box,2018-11,140,249
336,Sony Xperia Z4 Tablet,Tablet,2022-12,144.99,42
337,Google Pixel C,Tablet,2020-11,13.95,221
338,Macbook,Desktop,2023-04,140.95,210
339,Roku Ultra,Set Top Box,2021-03,107,104
340,LG G Pad 7.0,Tablet,2018-07,45.95,49
341,Sony Xperia Z4 Tablet,Tablet,2018-10,193.99,198
342,Apple iPhone 7 Plus,iPhone,2023-10,34,212
343,Sony Xperia Z4 Tablet,Tablet,2018-12,190,5
344,Xbox One S,Game Console,2024-01,179,147
345,Samsung Galaxy Tab S3,Tablet,2019-05,32.95,20
346,Samsung Galaxy Tab A,Tablet,2020-06,73,61
347,Samsung Galaxy S8,Android Mobile,2020-01,60,86
348,Samsung Galaxy S9,Android Mobile,2023-07,105,215
349,Samsung Galaxy S7 Edge,Android Mobile,2022-06,53,213
350,Amazon 4K Fire TV,Set Top Box,2022-12,141.99,22
351,Amazon Kindle 4,E Reader,2019-12,55,72
352,Samsung Galaxy S9,Android Mobile,2022-05,182.95,152
353,Samsung Galaxy S9,Android Mobile,2022-05,113.99,30
354,Nintendo 3DS,Game Console,2024-02,61.95,62
355,Apple iPhone XS Max,iPhone,2023-08,197.99,173
356,Samsung Galaxy Tab A,Tablet,2023-11,138.99,136
357,Amazon Kindle 4,E Reader,2018-07,58.99,223
358,Minix NEO X5,Set Top Box,2021-11,105.95,141
359,Apple iPhone XR,iPhone,2019-06,55.99,211
360,Playstation Vita,Game Console,2021-10,77,188
361,Nintendo 3DS,Game Console,2019-07,153,34
362,Linux-based PC,Desktop,2019-08,42.95,201
363,Nintendo Wii U,Game Console,2023-03,53,66
364,Google Nexus Player,Set Top Box,2023-02,10,10
365,Roku Ultra,Set Top Box,2019-10,49.95,248
366,Samsung Galaxy S6,Android Mobile,2018-08,129.99,218
367,Apple iPhone 7 Plus,iPhone,2021-11,95,182
368,Nvidia Shield Tablet K1,Tablet,2021-11,17.99,234
369,Chromecast,Set Top Box,2020-02,138.95,83
370,Apple iPhone 8,iPhone,2023-05,18.99,147
371,Chromecast,Set Top Box,2018-11,96,254
372,Playstation Vita,Game Console,2019-03,186,199
373,Samsung Galaxy S6 Edge Plus,Android Mobile,2021-06,38,79
374,Samsung Galaxy S6,Android Mobile,2023-02,95.99,104
375,Samsung Galaxy Tab A,Tablet,2022-02,66.99,193
376,Nvidia Shield Tablet K1,Tablet,2021-05,129.99,39
377,Amazon Kindle 3,E Reader,2023-10,47,86
378,Windows 10-based PC,Desktop,2020-09,58,202
379,Roku Ultra,Set Top Box,2018-07,170,8
380,Apple iPhone XS Max,iPhone,2022-06,54.99,219
381,Samsung Galaxy S6 Edge Plus,Android Mobile,2023-01,72.99,176
382,Amazon 4K Fire TV,Set Top Box,2021-04,41.99,149
383,Google Pixel C,Tablet,2023-05,170.99,186
384,Sony Xperia Z4 Tablet,Tablet,2022-03,76.99,112
385,Amazon 4K Fire TV,Set Top Box,2022-09,26,38
386,Chromebook,Desktop,2021-05,93.95,84
387,Amazon Kindle Fire HDX 7,Tablet,2021-05,134.95,171
388,Google Nexus Player,Set Top Box,2023-05,19.99,106
389,Samsung Galaxy S7,Android Mobile,2023-07,123.99,28
390,Chromebook,Desktop,2021-08,193.95,184
391,Apple iPhone XR,iPhone,2019-05,95.95,85
392,Amazon Kindle 4,E Reader,2021-10,142.95,136
393,Nvidia Shield Tablet K1,Tablet,2018-06,14.99,1
394,Chromecast,Set Top Box,2023-01,51,45
395,Samsung Galaxy Tab S3,Tablet,2018-09,29.99,62
396,Nvidia Shield Tablet K1,Tablet,2018-08,42.95,17
397,Windows 7-based PC,Desktop,2020-07,195.99,217
398,Nintendo Wii U,Game Console,2018-10,94.99,224
399,Apple iPhone 6,iPhone,2021-10,185,176
400,Nintendo 3DS,Game Console,2021-10,145,12
401,Samsung Galaxy S7,Android Mobile,2022-06,162.95,245
402,Apple TV 5th Gen 4K,Set Top Box,2020-02,88.95,233
403,HTC One X10,Android Mobile,2018-12,23.95,0
404,Apple iPhone 6,iPhone,2022-05,152.95,30
405,Amazon 4K Fire TV,Set Top Box,2018-05,52,197
406,Apple iPhone 8 Plus,iPhone,2022-12,175,101
407,LG G Pad 7.0,Tablet,2019-07,52.95,148
408,Apple iPhone 7 Plus,iPhone,2021-06,191,71
409,Apple iPhone XS Max,iPhone,2021-11,190,98
410,Amazon 4K Fire TV,Set Top Box,2020-06,186.95,233
411,Windows 7-based PC,Desktop,2020-03,99.95,188
412,Amazon Kindle 3,E Reader,2020-03,61.95,102
413,Macbook,Desktop,2024-01,152.95,138
414,Playstation 4,Game Console,2018-10,192.99,187
415,Sony Xperia XZ,Android Mobile,2020-11,54.95,52
416,Google Nexus Player,Set Top Box,2023-04,98.99,182
417,Apple iPhone 8 Plus,iPhone,2019-03,128,219
418,Xbox One S,Game Console,2021-11,88.95,41
419,Amazon Kindle 3,E Reader,2023-04,173,191
420,Linux-based PC,Desktop,2021-02,20.95,172
421,Amazon 4K Fire TV,Set Top Box,2023-07,117.99,150
422,Samsung Galaxy Tab S3,Tablet,2018-06,131.99,180
423,Xbox One S,Game Console,2020-05,117,18
424,Nintendo Wii U,Game Console,2023-08,18,191
425,LG G Pad 7.0,Tablet,2018-07,61.95,62
426,Amazon Kindle Fire HDX 7,Tablet,2022-12,67.99,142
427,Chromecast,Set Top Box,2019-06,139.95,5
428,Apple iPhone XS,iPhone,2018-10,135.99,53
429,HTC One M9,Android Mobile,2020-01,22.95,0
430,HTC One M9,Android Mobile,2022-10,55.95,171
431,Apple iPhone 7,iPhone,2018-05,172.95,93
432,Apple iPhone 8 Plus,iPhone,2023-02,171.95,91
433,Apple iPhone 8,iPhone,2022-08,28,55
434,Apple iPhone XR,iPhone,2018-05,34.99,204
435,Playstation Vita,Game Console,2018-12,118.95,7
436,Windows 10-based PC,Desktop,2019-03,43.95,132
437,Samsung Galaxy S6 Edge Plus,Android Mobile,2023-07,89,209
438,Apple TV 5th Gen 4K,Set Top Box,2019-01,170,228
439,Amazon Kindle 3,E Reader,2022-04,90,188
440,Apple iPhone XR,iPhone,2020-07,77.99,71
441,Samsung Galaxy S9,Android Mobile,2018-08,135.95,240
442,Samsung Galaxy S7,Android Mobile,2020-03,45.99,131
443,Apple iPhone X,iPhone,2021-08,82,212
444,Apple TV 4th Gen,Set Top Box,2020-10,15,102
445,Playstation Vita,Game Console,2024-03,27.99,142
446,HTC One X10,Android Mobile,2023-01,74.95,82
447,Samsung Galaxy S7,Android Mobile,2021-02,32.99,233
448,Apple iPhone XS,iPhone,2019-03,147,219
449,Samsung Galaxy S8,Android Mobile,2021-03,60.95,234
450,Xbox One S,Game Console,2022-05,131,223
451,Sony Xperia Z5,Android Mobile,2018-04,151.99,46
452,Samsung Galaxy S7,Android Mobile,2023-07,69.99,105
453,Amazon Kindle 4,E Reader,2022-09,97.99,3
454,Samsung Galaxy Tab S3,Tablet,2018-06,158.95,206
455,Apple iPhone XS,iPhone,2021-07,190.99,209
456,HTC One M9,Android Mobile,2022-01,95,230
457,Minix NEO X5,Set Top Box,2020-08,30.95,242
458,Apple iPhone 8,iPhone,2022-02,90.99,215
459,Apple iPhone 8,iPhone,2021-04,20.95,104
460,Macbook,Desktop,2021-08,82.95,32
461,Amazon Kindle 3,E Reader,2021-11,57,198
462,Playstation 4,Game Console,2021-11,93.99,65
463,Minix NEO X5,Set Top Box,2018-08,73,124
464,Samsung Galaxy S7 Edge,Android Mobile,2023-03,185.95,185
465,HTC One X10,Android Mobile,2018-05,82.99,73
466,Apple iPhone 6,iPhone,2023-09,187.99,50
467,Apple iPhone X,iPhone,2023-01,160.99,67
468,Samsung Galaxy S7,Android Mobile,2023-09,68.99,68
469,Amazon Kindle 3,E Reader,2023-05,170.99,76
470,Google Nexus Player,Set Top Box,2020-11,103,21
471,Samsung Galaxy S7,Android Mobile,2018-05,16.99,46
472,Linux-based PC,Desktop,2023-10,198.99,176
473,Apple iPhone 7 Plus,iPhone,2019-09,172,79
474,Roku Ultra,Set Top Box,2018-09,182.95,101
475,Amazon 4K Fire TV,Set Top Box,2019-05,172.95,25
476,Samsung Galaxy S7,Android Mobile,2021-10,48,229
477,HTC One X10,Android Mobile,2019-03,41.99,251
478,Samsung Galaxy S7 Edge,Android Mobile,2018-08,175.95,122
479,Nvidia Shield Tablet K1,Tablet,2019-09,149,114
480,Roku Ultra,Set Top Box,2019-08,196,236
481,Google Pixel C,Tablet,2019-07,28.95,215
482,Sony Xperia Z4 Tablet,Tablet,2019-08,132.95,109
483,Minix NEO X5,Set Top Box,2023-12,134.95,52
484,Amazon 4K Fire TV,Set Top Box,2023-04,180.99,46
